eventlageret, playlist_order,track_id,Track name, Artist name, Album, Playlist name, Type
1, 1, Say My Name,Destiny's Child,The Writing's On The Wall,90's Bingo,Playlist track
2, 2, Bye Bye Bye,*NSYNC,The Essential *NSYNC,90's Bingo,Playlist track
4, 3, Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,This Is The End: Original Motion Picture Soundtrack,90's Bingo,Playlist track
Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),90's Bingo,Playlist track
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),90's Bingo,Playlist track
Mambo No. 5 (A Little Bit Of...),Lou Bega,Mambo No. 5 (A Little Bit Of...),90's Bingo,Playlist track
Go West (2003 Remaster),Pet Shop Boys,PopArt: The Hits,90's Bingo,Playlist track
"What Is Love (7"" Mix)",Haddaway,What Is Love,90's Bingo,Playlist track
MMMBop,Hanson,MmmBop : The Collection,90's Bingo,Playlist track
Saturday Night,Whigfield,Saturday Night Single,90's Bingo,Playlist track
Livin' la Vida Loca,Ricky Martin,Ricky Martin,90's Bingo,Playlist track
Sing Hallelujah! (Short),Dr Alban,The Very Best Of 1990 - 1997,90's Bingo,Playlist track
Wannabe,Spice Girls,Wannabe,90's Bingo,Playlist track
I Want It That Way,Backstreet Boys,Millennium,90's Bingo,Playlist track
Macarena,Los Del Río,Ferdinand (Original Motion Picture Soundtrack),90's Bingo,Playlist track
U Can't Touch This,MC Hammer,Greatest Hits,90's Bingo,Playlist track
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,Scatman's World,90's Bingo,Playlist track
All That She Wants,Ace Of Base,Happy Nation,90's Bingo,Playlist track
It's My Life,Dr Alban,One Love (2nd Edition),90's Bingo,Playlist track
"Boom, Boom, Boom, Boom!!",Vengaboys,Greatest Hits!,90's Bingo,Playlist track
Believe,Cher,Believe,90's Bingo,Playlist track
Coco Jamboo,Mr. President,We See The Same Sun,90's Bingo,Playlist track
Sweat (A La La La La Long),Inner Circle,Pop Decades: 90s,90's Bingo,Playlist track
All 'Bout the Money,Meja,Seven Sisters,90's Bingo,Playlist track
